1.13.11.12	01070
1.13.11.12	01100
1.13.11.13	00053
1.13.11.14	00362
1.13.11.14	01120
1.13.11.15	00350
1.13.11.15	01120
1.13.11.16	00360
1.13.11.16	01120
1.13.11.17	00380
1.13.11.18	00920
1.13.11.19	00430
1.13.11.19	01100
1.13.11.2	00361
1.13.11.2	00362
1.13.11.2	00622
1.13.11.2	00643
1.13.11.2	01100
1.13.11.2	01120
1.13.11.20	00270
1.13.11.20	00430
1.13.11.20	01100
1.13.11.22	00940
1.13.11.23	00380
1.13.11.27	00130
1.13.11.27	00350
1.13.11.27	00360
1.13.11.27	01100
1.13.11.29	00350
1.13.11.3	00362
1.13.11.3	00624
1.13.11.3	00627
1.13.11.3	01100
1.13.11.3	01120
1.13.11.30	00350
1.13.11.31	00590
1.13.11.33	00590
1.13.11.33	00591
1.13.11.33	01100
1.13.11.34	00590
1.13.11.34	01100
1.13.11.37	00361
1.13.11.37	00362
1.13.11.37	01100
1.13.11.37	01120
1.13.11.38	00624
1.13.11.38	01120
1.13.11.39	00361
1.13.11.39	00621
1.13.11.39	01100
1.13.11.39	01120
1.13.11.4	00350
1.13.11.4	01100
1.13.11.4	01120
1.13.11.40	00590
1.13.11.41	00363
1.13.11.41	01120
1.13.11.44	00591
1.13.11.45	00591
